Date,Time,Match,Stars,Odds,HTHG,HTAG,FTHG,FTAG
25/04/2020,13:00,Kopetdag Asgabat - Ahal,,2.97,0,1,0,1
25/04/2020,18:00,Dynamo Brest - Shakhtyor Soligorsk,,3.16,0,1,0,2
01/05/2020,15:00,Smolevichi - Energetik-BGU,,3.15,0,1,0,1
02/05/2020,13:00,FC Minsk - Zhodino,,2.9,1,4,2,5
02/05/2020,15:00,Rukh Brest - Gorodeja,,3.25,0,0,1,1
03/05/2020,03:00,Esteli - Managua FC,,2.89,0,0,1,1
04/05/2020,14:15,Sagadam - Kopetdag Asgabat,,2.88,1,0,1,0
08/05/2020,18:00,Gorodeja - FC Minsk,,3.11,1,1,1,1
09/05/2020,16:00,Neman - Rukh Brest,,2.95,0,2,2,4
10/05/2020,03:00,Managua FC - Esteli,,3.2,0,0,1,3
16/05/2020,09:30,Daegu - Pohang,,3.08,0,1,1,1
16/05/2020,13:00,Bochum - Heidenheim,,3.41,2,0,3,0
16/05/2020,15:30,Augsburg - Wolfsburg,,3.74,0,1,1,2
17/05/2020,09:00,Seoul E. - Gyeongnam,,3.36,0,0,2,2
17/05/2020,12:00,Seongnam - Incheon,,3.06,0,0,0,0
17/05/2020,14:00,Belshina - Vitebsk,,2.92,0,0,1,1
19/05/2020,12:00,Brest 2 - BATE 2,,3.44,1,4,2,6
20/05/2020,23:00,Grecia - Zeledon,,3.36,0,0,1,0
21/05/2020,18:00,Neman - Zhodino,,3.3,1,1,3,1
